"Player","Nation","Pos","Age","new_pound_value","Team","team_id","Fotmob_rating"
"Timo Werner","GER","FW,MF","28","165000","Tottenham","16","6.44"
"Cristian Romero","ARG","DF","26","165000","Tottenham","16","7.03"
"Dejan Kulusevski","SWE","MF,FW","24","110000","Tottenham","16","6.95"
"Richarlison","BRA","FW","27","90000","Tottenham","16","6.55"
"Dominic Solanke","ENG","FW","26","90000","Tottenham","16","6.66"
"Pedro Porro","ESP","DF","24","85000","Tottenham","16","7.28"
"Radu Drăgușin","ROU","DF","22","85000","Tottenham","16","6.33"
"Ben Davies","WAL","DF","31","80000","Tottenham","16","6.6"
"Destiny Udogie","ITA","DF","21","75000","Tottenham","16","6.95"
"Guglielmo Vicario","ITA","GK","27","75000","Tottenham","16","6.95"
"Archie Gray","ENG","CM","18","75000","Tottenham","16","6.16"
"Fraser Forster","ENG","GK","36","75000","Tottenham","16","6.8"
"Rodrigo Bentancur","URU","MF","27","75000","Tottenham","16","7.07"
"Brennan Johnson","WAL","FW","23","70000","Tottenham","16","7.06"
"Pape Matar Sarr","SEN","MF","21","70000","Tottenham","16","6.7"
"Yves Bissouma","MLI","MF","27","55000","Tottenham","16","6.64"
"Sergio Reguilón","ESP","DF","27","53000","Tottenham","16","6.82"
"Micky van de Ven","NED","DF","23","50000","Tottenham","16","6.84"
"Djed Spence","ENG","DF","23","50000","Tottenham","16","6.75"
"Wilson Odobert","FRA","LW","20","25000","Tottenham","16","6.43"
"Lucas Bergvall","SWE","AM","19","15000","Tottenham","16","6.7"
"Ashley Phillips","WAL","CB","19","15000","Tottenham","16","6.62"
"Robert Lewandowski","POL","FW","35","640962","FC Barcelone","17","7.52"
"Frenkie de Jong","NED","MF","27","365385","FC Barcelone","17","6.96"
"Jules Koundé","FRA","DF","25","260577","FC Barcelone","17","7.28"
"Raphinha","BRA","FW,MF","27","240385","FC Barcelone","17","7.92"
"Ferrán Torres","ESP","FW","24","192308","FC Barcelone","17","7.1"
"Pedri","ESP","MF","21","180385","FC Barcelone","17","7.78"
"Iñigo Martínez","ESP","DF","33","180385","FC Barcelone","17","7.45"
"Dani Olmo","ESP","MF","26","180385","FC Barcelone","17","7.27"
"Andreas Christensen","DEN","DF","28","173077","FC Barcelone","17","6.92"
"Ronald Araújo","URU","DF","25","134615","FC Barcelone","17","7.33"
"Gavi","ESP","MF","19","130769","FC Barcelone","17","6.85"
"Marc-André ter Stegen","GER","GK","32","121154","FC Barcelone","17","6.76"
"Eric García","ESP","DF,MF","23","115385","FC Barcelone","17","7.01"
"Pau Cubarsí","ESP","CB","18","76923","FC Barcelone","17","7.1"
"Fermín López","ESP","CM","21","76923","FC Barcelone","17","6.83"
"Iñaki Peña","ESP","GK","25","62500","FC Barcelone","17","7.03"
"Wojciech Szczęsny","POL","GK","34","57692","FC Barcelone","17","7.25"
"Clément Lenglet","FRA","CB","29","38462","FC Barcelone","17","7.08"
"Lamine Yamal","ESP","RW","17","32115","FC Barcelone","17","7.99"
"Alejandro Balde","ESP","DF","20","32115","FC Barcelone","17","7.16"
"Marc Casado","ESP","MF","21","10000","FC Barcelone","17","7.15"
"Kylian Mbappé","FRA","FW","25","600962","Real Madrid","18","7.86"
"Vinicius Júnior","BRA","FW","24","400577","Real Madrid","18","7.51"
"Jude Bellingham","ENG","MF","21","400577","Real Madrid","18","7.57"
"Federico Valverde","URU","MF,DF","26","320577","Real Madrid","18","7.6"
"Thibaut Courtois","BEL","GK","32","288462","Real Madrid","18","7.12"
"Antonio Rüdiger","GER","DF","31","280385","Real Madrid","18","6.94"
"Éder Militão","BRA","DF","26","280385","Real Madrid","18","7.21"
"Aurélien Tchouaméni","FRA","MF,DF","24","240385","Real Madrid","18","7.25"
"Eduardo Camavinga","FRA","MF","21","240385","Real Madrid","18","7.21"
"Rodrygo","BRA","MF,FW","23","240385","Real Madrid","18","7.36"
"Dani Carvajal","ESP","DF","32","200385","Real Madrid","18","7.29"
"Luka Modrić","CRO","MF","38","200385","Real Madrid","18","7.13"
"Ferland Mendy","FRA","DF","29","200385","Real Madrid","18","6.67"
"Dani Ceballos","ESP","MF","27","200385","Real Madrid","18","7.24"
"Lucas Vázquez","ESP","DF","33","180385","Real Madrid","18","7.19"
